track,ca mẫu,chu kỳ lấy mẫu median (s),p1,p50,p99,% giá trị ≤0,% không hữu hạn
Solar8000/NIBP_DBP,80,2.0,36.0,68.0,108.0,0.0,0.0
Solar8000/NIBP_MBP,80,2.0,49.0,82.0,139.0,0.0,0.0
Solar8000/NIBP_SBP,80,2.0,70.0,112.0,199.0,0.0,0.0
Solar8000/PLETH_HR,80,2.0,46.0,71.0,110.0,0.0,0.0
Solar8000/PLETH_SPO2,80,2.0,92.0,100.0,100.0,0.0,0.0
Solar8000/RR_CO2,80,2.0,6.0,15.0,22.0,0.1,0.0
Vigileo/CI,80,2.0,1.4,2.7,5.9,0.0,0.0
Vigileo/CO,80,2.0,2.1,4.1,9.2,0.0,0.0
Vigileo/SV,80,2.0,34.0,62.0,131.0,0.0,0.0
Vigileo/SVI,80,2.0,14.0,36.0,61.0,0.0,0.0
Vigileo/SVV,80,2.0,2.0,9.0,26.0,0.0,0.0
