feature,nhóm,n,rho
rr_60_slope,EtCO2/RR,288513,-0.025779438185909418
rr_600_slope,EtCO2/RR,288705,-0.02566669797437426
etco2_600_mean,EtCO2/RR,289221,-0.024765135715348482
rr_600_min,EtCO2/RR,288706,0.024244050215261007
bt_sv_lz_cur,Beat (ART waveform),281793,-0.022190299238576114
spo2_600_max,SpO2,290297,-0.021802360753508793
spo2_60_max,SpO2,289958,-0.01993366181677106
spo2_600_slope,SpO2,290297,-0.01955041193615975
etco2_60_slope,EtCO2/RR,288995,-0.019325055463147636
hr_600_missing,HR,290297,-0.019183125896791196
spo2_60_mean,SpO2,289958,-0.019148183816392356
sbp_age,SBP/DBP,290297,-0.018196254763508765
dbp_age,SBP/DBP,290297,-0.01817766871892074
spo2_60_min,SpO2,289958,-0.017967510485037648
spo2_300_slope,SpO2,290249,-0.01796085231095539
rr_600_mean,EtCO2/RR,288706,0.017138637852200427
hr_300_missing,HR,290297,-0.016744926175677386
spo2_current,SpO2,289672,-0.015065052170829709
rr_600_missing,EtCO2/RR,290297,-0.015060082397912785
hr_60_slope,HR,289313,0.014729638604312348
static_age,Static,290297,-0.014658258107548758
rr_300_missing,EtCO2/RR,290297,-0.014573996457653197
rr_300_mean,EtCO2/RR,288650,0.014058759507086505
preop_hb,Static,274247,0.013421659207945365
spo2_300_std,SpO2,290249,-0.01309951354722723
spo2_600_std,SpO2,290297,-0.012873129700809154
etco2_300_min,EtCO2/RR,289154,-0.012250162198576657
rr_60_missing,EtCO2/RR,290297,-0.011332167105716015
rr_60_min,EtCO2/RR,288516,0.01126082525525987
hr_300_min,HR,290152,-0.010499969124334872
etco2_600_min,EtCO2/RR,289221,0.009597036944625504
etco2_300_missing,EtCO2/RR,290297,-0.008771962064110845
spo2_300_missing,SpO2,290297,-0.00874191344104759
etco2_600_missing,EtCO2/RR,290297,-0.00859355426104698
spo2_600_min,SpO2,290297,0.008188256099309225
etco2_60_missing,EtCO2/RR,290297,-0.007615182995360235
rr_60_mean,EtCO2/RR,288516,0.007403622599338855
hr_60_missing,HR,290297,-0.007281086909508295
spo2_600_missing,SpO2,290297,-0.006878713827773086
map_600_missing,MAP,290297,-0.0064710848662616815
spo2_60_std,SpO2,289958,0.006264099793800052
static_bmi,Static,290297,0.005908707098088612
rr_age,EtCO2/RR,290297,-0.005515354370537892
peep_d300,Thở máy / CVP,287979,0.005368013785039823
etco2_age,EtCO2/RR,290297,-0.0050857228652611474
bis_cur,Độ mê / thuốc mê,268658,0.005012084440434577
hr_age,HR,290297,-0.004426506301653123
spo2_300_mean,SpO2,290249,-0.004396491371671141
spo2_age,SpO2,290297,-0.004131529596464494
rr_current,EtCO2/RR,288371,0.004046016643807156
map_age,MAP,290297,-0.003951419517689014
rr_600_max,EtCO2/RR,288706,0.0032924098642931154
spo2_60_slope,SpO2,289952,0.0032813134529110057
spo2_300_min,SpO2,290249,0.0025223760192899223
rr_60_max,EtCO2/RR,288516,0.002369058666117031
hr_600_min,HR,290273,0.002323071037449572
spo2_60_missing,SpO2,290297,-0.002233543768589941
map_300_missing,MAP,290297,-0.002141112758000207
spo2_600_mean,SpO2,290297,0.000597123465243712
peep_cur,Thở máy / CVP,288050,-0.00014569339985200715
rr_300_max,EtCO2/RR,288650,0.00013023830519724562
bt_ppv_cur,Beat (ART waveform),281745,-7.00660449098251e-05
